"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACTG","Acacia Research Corporation","2.71","135860080.41","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","26.43","2339703460.05","n/a","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","28.05","4052872355.4","n/a","1985","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acad",
"ACAM","Acamar Partners Acquisition Corp.","9.8","374327189.6","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","10","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","0.72","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","1.83","151310665.92","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","17.77","968744610.95","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","43.57","2301960126.28","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xlrn",
"ARAY","Accuray Incorporated","2.61","229742890.56","n/a","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.2","174758192.4","n/a","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","2.26","22815097.76","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acer",
"ACHV","Achieve Life Sciences, Inc. ","1.94","15709660.22","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/achv",
"ACHN","Achillion Pharmaceuticals, Inc.","4.26","595091788.08","n/a","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","28.5","3326362452","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","1.06","43850317.44","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","14.09","227453489.18","n/a","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr",
"ACNB","ACNB Corporation","32.51","229841116.09","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","3.12","150097028.64","n/a","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/acor",
"ACTT","Act II Global Acquisition Corp.","9.85","369375000","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/actt",
"ACTTU","Act II Global Acquisition Corp.","10.3","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acttu",
"ACTTW","Act II Global Acquisition Corp.","0.85","18487500","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acttw",
"ATVI","Activision Blizzard, Inc","47.33","36303337740.2","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/atvi",
"ADMS","Adamas Pharmaceuticals, Inc.","6.06","168292956.9","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","0.963","59164898.967","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/admp",
"ADAP","Adaptimmune Therapeutics plc","1.43","116892357.01","81742907","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adap",
"ADPT","Adaptive Biotechnologies Corporation","43.11","6017571773.28","n/a","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adpt",
"ADUS","Addus HomeCare Corporation","86.65","1145392816.45","n/a","2009","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","1.7866","18511484.2872","n/a","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/aey",
"IOTS","Adesto Technologies Corporation","10.25","308226602","n/a","2015","Technology","Semiconductors","https://www.nasdaq.com/symbol/iots",
"ADIL","Adial Pharmaceuticals, Inc","1.58","16183069.42","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adil",
"ADILW","Adial Pharmaceuticals, Inc","0.2","0","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adilw",
"ADMA","ADMA Biologics Inc","4.04","239643936.24","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adma",
"ADBE","Adobe Inc.","282.44","137107323939.28","n/a","1986","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","10.25","490043808","n/a","1994","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","1.26","100976745.24","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adro",
"ADES","Advanced Emissions Solutions, Inc.","12.4","230367435.6","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","47.81","1831532683.89","n/a","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","29.54","32067039444.86","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","0.4021","7507534.7115","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adxs",
"ADVM","Adverum Biotechnologies, Inc.","10.56","680689489.92","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/advm",
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","22.6282","2262820","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwmc",
"DWSH","AdvisorShares Dorsey Wright Short ETF","29.2881","31484707.5","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwsh",
"BKCH","AdvisorShares Sabretooth ETF","26.95","2695000","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bkch",
"ACT","AdvisorShares Vice ETF","23.92","13156000","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/act",
"AEGN","Aegion Corp","19.23","594099062.01","n/a","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","7.41","214041325.29","n/a","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agle",
"AEHR","Aehr Test Systems","1.35","30458759.4","n/a","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","0.79","16250447.73","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amtx",
"AERI","Aerie Pharmaceuticals, Inc.","23.42","1075897071.06","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","50.78","1215803095.24","n/a","2007","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/avav",
"ARPO","Aerpio Pharmaceuticals, Inc.","0.67","27193962.68","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/arpo",
"AEZS","AEterna Zentaris Inc.","2.08","34196780.8","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","0.305","6007732.01","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/aemd",
"GNMX","Aevi Genomic Medicine, Inc.","0.1799","11651562.0718","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/gnmx",
"AFMD","Affimed N.V.","2.68","167339770.84","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/afmd",
"AFYA","Afya Limited","30.34","2660291418.96","n/a","2019","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/afya",
"AGBA","AGBA Acquisition Limited","10","59750000","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/agba",
"AGBAR","AGBA Acquisition Limited","0.225","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/agbar",
"AGBAU","AGBA Acquisition Limited","10.0736","60189760","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/agbau",
"AGBAW","AGBA Acquisition Limited","0.15","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/agbaw",
"AGEN","Agenus Inc.","2.79","383102781.75","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/agen",
"AGRX","Agile Therapeutics, Inc.","1.07","63453274.82","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agrx",
"AGYS","Agilysys, Inc.","27.19","643733582.2","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","39.75","2335427218.5","n/a","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","16.86","359388687.3","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/agmh",
"AGNC","AGNC Investment Corp.","15.65","8573350964.45","n/a","2008","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agnc",
"AGNCB","AGNC Investment Corp.","25.75","8921089637.25","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncb",
"AGNCM","AGNC Investment Corp.","26.04","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncm",
"AGNCN","AGNC Investment Corp.","25.99","337870","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncn",
"AGFS","AgroFresh Solutions, Inc.","1.58","81279458.1","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.01","0","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw",
"ALRN","Aileron Therapeutics, Inc.","0.73","20301561.34","n/a","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alrn",
"AIMT","Aimmune Therapeutics, Inc.","19.36","1213271007.52","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aimt",
"AIRT","Air T, Inc.","17.3067","52442295.0591","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airt",
"AIRTP","Air T, Inc.","2.39","0","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airtp",
"AIRTW","Air T, Inc.","0.05","0","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airtw",
"ATSG","Air Transport Services Group, Inc","19.89","1180725495.3","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/atsg",
"AIRG","Airgain, Inc.","10.98","106673390.1","n/a","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/airg",
"ANTE","AirNet Technology Inc.","0.9391","8485284.0659","9035549","n/a","Technology","Advertising","https://www.nasdaq.com/symbol/ante",
"AKAM","Akamai Technologies, Inc.","86.99","14254489779.55","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",
"AKTX","Akari Therapeutics Plc","1.73","28474274.14","16459118","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aktx",
"AKCA","Akcea Therapeutics, Inc.","21.25","1976938202.5","n/a","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akca",
"AKBA","Akebia Therapeutics, Inc.","4.05","481398126.75","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akba",
"KERN","Akerna Corp.","8.7","64651875","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/kern",
"KERNW","Akerna Corp.","1.25","0","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/kernw",
"AKRO","Akero Therapeutics, Inc.","28.16","804119472.64","n/a","2019","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akro",
"AKER","Akers Biosciences Inc.","0.46","5755845.68","n/a","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","2.7","340585946.1","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akrx",
"AKTS","Akoustis Technologies, Inc.","6.79","204084490.54","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/akts",
"ALRM","Alarm.com Holdings, Inc.","45.74","2217797804.22","n/a","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/alrm",
"ALSK","Alaska Communications Systems Group, Inc.","1.79","95822731.08","n/a","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/alsk",
"ALAC","Alberton Acquisition Corporation","10.15","149100962.5","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alac",
"ALACR","Alberton Acquisition Corporation","0.26","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacr",
"ALACU","Alberton Acquisition Corporation","10.51","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacu",
"ALACW","Alberton Acquisition Corporation","0.13","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacw",
"ALBO","Albireo Pharma, Inc.","23.8","301910758.8","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/albo",
"ABDC","Alcentra Capital Corp.","8.83","113691247.78","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abdc",
"ALDR","Alder BioPharmaceuticals, Inc.","8.84","739353148.56","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldr",
"ALDX","Aldeyra Therapeutics, Inc.","4.71","129893543.37","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldx",
"ALEC","Alector, Inc.","15","1032477855","n/a","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/alec",
"ALXN","Alexion Pharmaceuticals, Inc.","115.33","25860085839.74","n/a","1996","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alxn",
"ALCO","Alico, Inc.","31.27","233790561.51","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","175.04","13980599010.24","n/a","2001","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","0.4672","33171431.264","n/a","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alim",
"ALYA","Alithya Group inc.","2.87","139197591.61","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/alya",
"ALJJ","ALJ Regional Holdings, Inc.","1.57","65816439.43","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ALKS","Alkermes plc","20.07","3153611382.84","n/a","1991","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alks",
"ALLK","Allakos Inc.","86.55","4190104038.75","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/allk",
"ABTX","Allegiance Bancshares, Inc.","31.32","662678331.84","n/a","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/abtx",
"ALGT","Allegiant Travel Company","140.7","2294265878.1","n/a","2006","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/algt",
"ALGR","Allegro Merger Corp.","10.14","193268400","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algr",
"ALGRR","Allegro Merger Corp.","0.21","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algrr",
"ALGRU","Allegro Merger Corp.","10.53","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algru",
"ALGRW","Allegro Merger Corp.","0.21","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algrw",
"ALNA","Allena Pharmaceuticals, Inc.","4.03","94566629.95","n/a","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/alna",
"ARLP","Alliance Resource Partners, L.P.","15.7","2015741698.7","n/a","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp",
"LNT","Alliant Energy Corporation","51.64","12265588261.36","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/lnt",
"AESE","Allied Esports Entertainment, Inc.","3.86","89122382","n/a","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/aese",
"AESEW","Allied Esports Entertainment, Inc.","0.21","0","n/a","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/aesew",
"AHPI","Allied Healthcare Products, Inc.","1.45","5819628.65","n/a","1992","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","31.25","299995593.75","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/amot",
"ALLO","Allogene Therapeutics, Inc.","26.16","3184953342.96","n/a","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/allo",
"ALLT","Allot Ltd.","7.93","272085889.01","n/a","2006","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","9.27","1544877778.14","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/mdrx",
"ALNY","Alnylam Pharmaceuticals, Inc.","81.89","9106794540.39","n/a","2004","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","12.26","300578420","n/a","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/aosl",
"GOOG","Alphabet Inc.","1151.29","798302586371.5","n/a","2004","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/goog",
"GOOGL","Alphabet Inc.","1153.58","799890468593","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/googl",
"SMCP","AlphaMark Actively Managed Small Cap ETF","22.46","21336955.08","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/smcp",
"ATEC","Alphatec Holdings, Inc.","5.82","348796959.18","n/a","2006","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/atec",
"ALPN","Alpine Immune Sciences, Inc.","5","92938220","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alpn",
"AMR","Alta Mesa Resources, Inc.","0.1142","43496389.9082","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amr",
"AMRWW","Alta Mesa Resources, Inc.","0.007","0","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amrww",
"AABA","Altaba Inc.","69.52","36116430164.32","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/aaba",
"ALTR","Altair Engineering Inc.","32.3","2313831785.7","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/altr",
"ATHE","Alterity Therapeutics Limited","1.09","7446612.95","6831755","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/athe",
"ALT","Altimmune, Inc.","2.08","31903042.08","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alt",
"ASPS","Altisource Portfolio Solutions S.A.","19.08","305258992.92","n/a","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","24.31","1568100918.67","n/a","2006","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aimc",
"ALTM","Altus Midstream Company","2.3","747337401.5","n/a","2017","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/altm",
"AMAG","AMAG Pharmaceuticals, Inc.","10.03","340023830.43","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amag",
"AMAL","Amalgamated Bank","15.21","484810932.06","n/a","2018","Consumer Non-Durables","Textiles","https://www.nasdaq.com/symbol/amal",
"AMRN","Amarin Corporation plc","15.21","4982335441.2","327569720","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","14.19","99776275.5","n/a","n/a","Basic Industries","Other Specialty Stores","https://www.nasdaq.com/symbol/amrk",
"AMZN","Amazon.com, Inc.","1749.62","865460056964.3","n/a","1997","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","17.48","796236024.8","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","7.4179","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambcw",
"AMBA","Ambarella, Inc.","44.65","1461821354","n/a","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/amba",
"AMCX","AMC Networks Inc.","49.09","2731550509.34","n/a","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/amcx",
"AMCI","AMCI Acquisition Corp.","10","275650960","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/amci",
"AMCIU","AMCI Acquisition Corp.","10.25","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/amciu",
"AMCIW","AMCI Acquisition Corp.","0.34","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/amciw",
"DOX","Amdocs Limited","63.74","8661564860","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dox",
"AMED","Amedisys Inc","130.26","4191105209.46","n/a","n/a","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/amed",
"AMTB","Amerant Bancorp Inc.","16.64","718924410.88","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amtb",
"AMTBB","Amerant Bancorp Inc.","13.5","583261992","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amtbb",
"UHAL","Amerco","340.35","6673510645.8","n/a","n/a","Consumer Services","Rental/Leasing Companies","https://www.nasdaq.com/symbol/uhal",
"AMRH","Ameri Holdings, Inc.","0.2433","12753223.4904","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amrh",
"AMRHW","Ameri Holdings, Inc.","0.0402","0","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amrhw",
"ATAX","America First Multifamily Investors, L.P.","7.67","463468777.59","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","13.13","43334955991.21","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","25.42","11318781905.76","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/aal",
